"patch_id","split","category","region_id","region_role","lidar_project","lidar_year","lidar_year_source","lidar_acquisition_year","lidar_acquisition_start_year","lidar_acquisition_end_year","lidar_acquisition_source","lidar_acquisition_evidence","lidar_acquisition_verified","lidar_file_creation_year","lidar_file_creation_date","lidar_inferred_year_hint","lidar_inferred_year_hint_source","label_quality","tile_name","tile_path","patch_path","row_offset","col_offset","x_min","y_min","x_max","y_max","crs","positive_fraction","ignore_fraction","ground_fraction","mean_slope_degrees","distance_to_positive_m","is_hard_negative","landslide_ids_in_tile","slido_ref_ids_in_tile","qc_status","qc_notes","patch_landslide_ids","patch_polygon_keys","contains_positive_boundary","boundary_pixel_fraction","boundary_of_positive_fraction","coverage_class","selected_for_manifest","sampling_reason"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896.npz","896","896","439344.0","1410495.0","439728.0","1410879.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.2709197998046875","20.420001983642578","178.5","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000128","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000128.npz","1024","128","438192.0","1410303.0","438576.0","1410687.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.201416015625","24.03914451599121","1049.289402405266","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000768","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000768.npz","1024","768","439152.0","1410303.0","439536.0","1410687.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.4021453857421875","24.41901397705078","372.39293763442936","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000896","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000896.npz","1024","896","439344.0","1410303.0","439728.0","1410687.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.3354034423828125","18.91175651550293","351.0","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c001024","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c001024.npz","1024","1024","439536.0","1410303.0","439920.0","1410687.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.2150115966796875","26.550079345703125","159.0","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000000","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000000.npz","1152","0","438000.0","1410111.0","438384.0","1410495.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.2205657958984375","28.629297256469727","1302.7541018933696","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000128","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000128.npz","1152","128","438192.0","1410111.0","438576.0","1410495.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.215240478515625","26.032424926757812","1133.7231804986613","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000768","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000768.npz","1152","768","439152.0","1410111.0","439536.0","1410495.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.43084716796875","21.125385284423828","546.3048599454338","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000896","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c000896.npz","1152","896","439344.0","1410111.0","439728.0","1410495.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.37359619140625","17.756887435913086","355.9585650044117","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
"legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c001024","validation","negative","legacy","train_val","USGS_LPC_OR_WesternWildfires_A22_s04380w14100","2020","cli_acquisition_override","2020","2020","2020","User-confirmed Tillamook A22 project metadata","regions/tillamook_lidar_acquisition.md","true","2024","2024-03-17","2022","project_name","negative","USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz","patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001152_c001024.npz","1152","1024","439536.0","1410111.0","439920.0","1410495.0","COMPD_CS[""NAD83(2011) / Oregon GIC Lambert (ft) + NAVD88 height - Geoid12B (Intl Feet)"",PROJCS[""NAD83(2011) / Oregon GIC Lambert (ft)"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83_National_Spatial_Reference_System_2011"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",43],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_origin"",41.75],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",1312335.958],PARAMETER[""false_northing"",0],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6557""]],VERT_CS[""NAVD88 height - Geoid12B (Intl Feet)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""foot"",0.3048,AUTHORITY[""EPSG"",""9002""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""8228""]]]","0","0","0.262420654296875","27.968427658081055","165.7143626847112","True","Tillamook_1374;Tillamook_1375;Tillamook_1376;Tillamook_1377;Tillamook_1378;Tillamook_1379;Tillamook_1381;Tillamook_1382;Tillamook_1383;Tillamook_1393;Tillamook_1394;Tillamook_4926","CalhNC2020a","","","","","false","0","0","negative","true","preserved_nontraining_split"
